batch_size,learning_rate,momentum,loss_scale,weight_ew,error_ew,gradient_ew,activation_ew,weight_bw,error_bw,gradient_bw,activation_bw,weight_round,error_round,gradient_round,activation_round,checkpoint_path,log_path,epochs,seed,check_number_ranges,mix_precision,clip,batchnorm,test_loss,test_acc
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_1_clip,200,1,False,True,100000000000000.0,id,2.3026037216186523,0.10000000149011612
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_1_clip,200,1,False,True,100000000000000.0,id,2.303185224533081,0.10078000277280807
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_2_clip,200,2,False,True,100000000000000.0,shift_norm,2.2989189624786377,0.10000000149011612
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,0.4748297929763794,0.8273000121116638
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_2_clip,200,2,False,True,100000000000000.0,shift_norm,2.285824775695801,0.1491200029850006
64,0.1,0.0,4000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,1.0448850393295288,0.6168599724769592
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_1_clip,200,1,False,True,100000000000000.0,id,7.0944743156433105,0.10000000149011612
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_1_clip,200,1,False,True,100000000000000.0,id,2.1812033653259277,0.22657999396324158
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_2_clip,200,2,False,True,100000000000000.0,shift_norm,2.2972700595855713,0.10000000149011612
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,0.529007613658905,0.8036800026893616
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_2_clip,200,2,False,True,100000000000000.0,shift_norm,2.28651762008667,0.16502000391483307
64,0.1,0.0,8000,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,1.0443586111068726,0.5962799787521362
64,0.1,0.0,100,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,2.2526192665100098,0.12992000579833984
64,0.1,0.0,100,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,batchnorm,0.6083455085754395,0.7914400100708008
64,0.1,0.0,100,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,id,0.505853533744812,0.8343200087547302
64,0.1,0.0,100,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,id,0.6260504126548767,0.783840000629425
64,0.1,0.0,100,2,4,2,4,3,3,3,3,nearest,nearest,nearest,nearest,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,shift_norm,2.331346035003662,0.10000000149011612
64,0.1,0.0,100,2,4,2,4,3,3,3,3,stochastic,stochastic,stochastic,stochastic,,results_new_batchnorm_2/f2_b4_log_0_clip,200,0,False,True,100000000000000.0,shift_norm,2.2936720848083496,0.12073999643325806
